Stress	Sex	Sample	R.Actinobacteria	R.Bacteroidetes	R.Firmicutes	R.Proteobacteria	R.Unknown	PD	SeqDepth	Actinobacteria	Bacteroidetes	Firmicutes	Proteobacteria	Unknown
Non-stressed	Female	2FDRA	2.80E-03	8.67E-05	8.58E-01	1.37E-01	2.32E-03	5.04824	46127	129	4	39589	6298	107
Heat-stressed	Female	1FBRD	3.63E-01	1.96E-05	4.91E-01	1.44E-01	1.04E-03	4.1562	50902	18497	1	25005	7346	53
Non-stressed	Female	2FERA	0.00256043	0	0.86592458	0.12849889	0.0030161	5.09436	46086	116	32	20277	30695	231
Non-stressed	Female	1FCRB	1.98E-03	7.54E-05	8.70E-01	1.26E-01	2.36E-03	5.49794	53051	118	0	39907	5922	139
Heat-stressed	Female	2FDRC	4.52E-01	5.19E-05	4.35E-01	1.12E-01	1.12E-03	4.80308	38526	116	0	48550	514	3
Non-stressed	Female	1FDRB	0.001584073	0.000254234	0.873411038	0.1230688	0.001681856	5.00307	51134	77	34	17071	35817	164
Heat-stressed	Female	2FARC	4.05E-01	7.47E-05	4.92E-01	1.03E-01	1.12E-03	4.80176	40144	105	4	46139	6678	125
Non-stressed	Female	2FBRA	2.06E-03	9.05E-05	8.82E-01	1.14E-01	1.72E-03	4.83322	44190	96	2	23114	5199	103
Non-stressed	Female	2FCRA	1.98E-03	8.48E-05	8.76E-01	1.19E-01	2.40E-03	4.64091	35376	17396	2	16763	4322	43
Non-stressed	Female	1FARB	0.001959129	0.000135112	0.892687046	0.103901368	0.001317345	4.92085	59210	24	7	6919	8823	91
Non-stressed	Female	2FARA	0.002133672	5.77E-05	0.903119774	0.092439882	0.002249005	4.47469	17341	81	13	44661	6293	86
Heat-stressed	Female	1FERD	3.63E-01	6.34E-05	4.87E-01	1.49E-01	1.29E-03	4.62203	47339	94	20	13849	27435	161
Heat-stressed	Female	1FARD	0.366301182	0	0.482903842	0.149663272	0.001131704	3.73369	53901	16247	3	19733	4116	45
Heat-stressed	Female	1FCRD	0.38040253	0	0.46341512	0.15497955	0.00120279	4.64284	49884	100	16	15225	18536	115
Heat-stressed	Female	2FBRC	0.39399133	0	0.489237826	0.115687065	0.001083779	4.62237	39676	91	4	38968	5051	76
Heat-stressed	Female	2FCRC	0.331225992	0.000160051	0.540412932	0.127080666	0.001120359	5.14382	12496	10	2	2836	2871	29
Heat-stressed	Female	2FERC	4.09E-01	2.40E-05	4.90E-01	1.00E-01	9.83E-04	4.91643	41693	100	41	15663	29644	161
Non-stressed	Female	1FERB	0.001966019	0.00016556	0.885908818	0.110366093	0.00159351	4.73222	48321	70	3	31001	4217	85
Non-stressed	Female	1FBRB	0.000909642	0.000303214	0.927986659	0.069587629	0.001212856	NA	6596	108	24	13027	29338	184
Non-stressed	Male	2FARB	0.002258963	0.000623162	0.394870597	5.98E-01	4.50E-03	5.8345	51351	99	37	19061	35517	128
Heat-stressed	Male	1FARC	2.36E-03	0.00E+00	9.87E-01	1.05E-02	6.10E-05	4.04646	49183	102	19	19477	29674	150
Non-stressed	Male	1FDRA	0.001448376	0.000639543	0.321106785	0.673720445	0.003084852	5.66431	53163	105	0	49745	438	2
Heat-stressed	Male	2FCRD	3.37E-03	7.01E-05	8.11E-01	1.82E-01	3.61E-03	4.33094	28514	116	8	52856	6152	78
Non-stressed	Male	1FARA	1.51E-03	4.41E-04	0.43614473	0.556164902	0.005736258	6.05509	15864	37	1	15661	1603	39
Non-stressed	Male	1FCRA	0.002261845	0.000481244	0.333237085	0.660145817	0.00387401	5.54767	41559	17162	3	23068	7045	61
Non-stressed	Male	2FCRB	0.002941869	0.000470699	0.447899506	0.545304778	0.003383149	5.64249	33992	19744	0	26029	8067	61
Non-stressed	Male	2FBRB	0.001739736	0.000347947	0.493389005	0.499478079	0.005045233	NA	5748	18976	0	23117	7731	60
Non-stressed	Male	2FERB	0.00219255	0.000898945	0.343419062	0.649959438	0.003530005	5.42088	45609	15632	0	19411	4590	43
Non-stressed	Male	2FDRB	0.0025304	0.000562311	0.305217778	0.687378459	0.004311052	5.61006	42681	4139	2	6753	1588	14
Non-stressed	Male	1FBRA	0.001805186	0.000674665	0.347562088	0.647624084	0.002333978	5.60939	54842	17038	1	20443	4170	41
Non-stressed	Male	1FERA	0.002063858	0.000384444	0.394095747	0.600420865	0.003035086	5.80055	49422	95	8	42808	5333	77
Heat-stressed	Male	1FERC	2.09E-03	0.00E+00	9.89E-01	8.71E-03	3.98E-05	3.95857	50290	102	0	20839	3849	95
Heat-stressed	Male	2FBRD	0.004098855	0	0.837412096	0.154671489	0.003817561	4.23032	24885	155	2	47648	542	3
Heat-stressed	Male	1FBRC	3.21E-03	4.14E-05	9.85E-01	1.12E-02	6.20E-05	3.75234	48350	6	2	6121	459	8
Heat-stressed	Male	1FCRC	0.002223585	0	0.982748045	0.014798344	0.000230026	4.18603	13042	29	0	12817	193	3
Heat-stressed	Male	1FDRC	3.05E-03	0.00E+00	9.82E-01	1.49E-02	4.36E-05	3.63735	45911	140	0	45087	682	2
Heat-stressed	Male	2FARD	0.002580674	0	0.756556455	0.236826433	0.004036438	4.37624	45337	117	0	34300	10737	183
Heat-stressed	Male	2FERD	0.001816266	0	0.746485524	0.24815649	0.00354172	3.8092	55058	100	0	41100	13663	195
