sample	site	pH	C	N	SOM	C_N	P	K	Ca	Mg	Na	Al	Bases	eCIC	Sat.Al
NEL-1	Neltume	5.78	8.41	0.5	14.49	16.95	9.4	105.7	580	62.5	20.4	33.2	3.77	4.14	8.9
NEL-2	Neltume	5.97	7.28	0.53	12.55	13.84	7.8	88.4	590	88.6	15.1	16.2	3.97	4.15	4.34
NEL-3	Neltume	5.89	7.58	0.46	13.06	16.6	7.2	71.6	510	93.6	17.9	25.65	3.58	3.87	7.37
CAT-1	Catanli	5.56	10.89	0.69	18.77	15.67	6.4	39.2	880	104	19.2	16.55	5.44	5.62	3.27
CAT-2	Catanli	5.28	12.02	0.79	20.73	15.22	19.2	31.2	790	73.2	20.9	47.8	4.72	5.25	10.11
CAT-3	Catanli	5.81	13.66	0.82	23.55	16.6	3.6	65.8	1880	143.7	17.2	10.4	10.83	10.94	1.06
PEL-1	Pelchuquin	5.23	14.18	0.72	24.44	19.66	9.2	44.6	75	46.4	30	119.5	1	2.33	57
PEL-2	Pelchuquin	5.38	14.69	0.71	25.33	20.78	8.6	55.1	375.7	98.1	30.2	109	2.96	4.17	29.05
PEL-3	Pelchuquin	5.29	13.56	0.74	23.37	18.21	9.2	65.9	324.5	93.9	33.3	85.1	2.71	3.65	25.87
HUI-1	Huillilemu	5.56	14.95	0.61	25.77	24.45	3.8	102.8	1166.7	232.8	25.4	35.55	8.12	8.52	4.64
HUI-2	Huillilemu	5.68	15.45	0.58	26.64	26.71	5.4	81.3	772.5	146.5	29.3	44.85	5.4	5.9	8.44
HUI-3	Huillilemu	5.88	16.78	0.67	28.92	25.16	6.8	101.4	1465.7	250	34.3	46.8	9.8	10.32	5.04
PAL-1	LasPalmas	5.34	10	0.39	17.23	25.96	4.4	128.4	381.6	133.3	54.8	116.25	3.57	4.86	26.55
PAL-2	LasPalmas	5.36	9.71	0.39	16.73	25	3.6	160.8	453.1	134.6	34.9	115.3	3.94	5.22	24.55
PAL-3	LasPalmas	5.11	10.61	0.39	18.28	27.46	3.8	133.5	324	129.3	41.4	207.3	3.21	5.51	41.8
