year	score
2020	6.1
2020	5.9
2020	6.1
2020	5.4
2020	5.9
2020	6
2020	6.1
2020	5.6
2020	5.9
2020	5.9
2020	6.2
2020	6
2020	6.2
2020	5.6
2020	5.8
2020	6
2020	5
2020	5.6
2020	6.3
2020	5.9
2020	6.1
2020	5.5
2020	6.1
2020	5.7
2020	5.4
2020	6
2020	6.3
2020	5.7
2020	5.8
2020	6.4
2020	5.1
2020	6.3
2020	6.2
2020	5.9
2020	6.1
2020	5.9
2020	5.8
2020	6
2020	6.3
2020	6.3
2020	5.8
2020	6.1
2020	6
2020	5.9
2020	6.3
2020	5.8
2020	6.2
2020	6.3
2020	6
2020	6.3
2020	6.3
2020	5.5
2020	6.1
2020	6
2020	6.2
2020	4.4
2020	6
2020	5.7
2020	6.1
2020	6.3
2020	5.3
2020	6.4
2020	6.2
2020	5.2
2020	5.7
2020	5.3
2020	6
2020	5.4
2020	5.7
2020	5.3
2020	6.1
2020	5.8
2020	6.1
2020	6.5
2020	4.9
2020	5.5
2020	NA
2020	5.1
2020	5.9
2020	5
2020	4.8
2020	6.2
2020	5.5
2020	5.9
2020	6.3
2020	5.4
2020	6.6
2020	6
2020	6
2020	5.9
2020	4.6
2020	6.5
2020	6.1
2020	6.2
2020	6
2020	5.5
2020	5.2
2020	6.1
2020	4.7
2020	5.8
2020	5.2
2020	6.1
2020	6.5
2020	5.7
2020	5.9
2020	5.9
2020	5.9
2020	6
2020	5.6
2020	NA
2020	6
2020	5.9
2020	6.2
2020	6.2
2020	6.3
2020	5.5
2020	5.6
2020	5.2
2020	6
2020	6.3
2020	5.9
2020	5.5
2020	5.9
2020	6.3
2020	5.4
2020	5.6
2020	6.1
2020	6.2
2020	6.2
2020	6.2
2020	6.1
2020	6.2
2020	6.1
2020	5.3
2020	5.5
2020	5.7
2020	6
2020	5.7
2020	5.2
2020	6.2
2020	5.3
2020	6.1
2020	6.1
2020	6.3
2020	6.4
2020	4.6
2020	5.8
2020	6.1
2020	5.1
2020	5.9
2020	6
2020	5.9
2020	5.4
2020	5.6
2020	5.1
2020	5
2020	6
2020	5.8
2020	6.3
2020	6.1
2020	5.2
2020	5.8
2020	6.1
2020	5.3
2020	5.6
2020	5.5
2020	5.7
2020	6.2
2020	5.6
2020	6
2020	6.2
2020	6.3
2020	6.2
2020	5.8
2020	6
2020	5.5
2020	6.2
2020	6.4
2020	5.8
2020	6
2020	5.6
2020	5.5
2020	6.1
2020	5.3
2020	6.1
2020	6.3
2020	5
2020	6.1
2020	6.3
2020	5.8
2020	5.5
2020	5.4
2020	5.6
2020	4.8
2020	6.2
2020	6.4
2020	6.2
2020	6.2
2020	5.7
2020	4.6
2020	6.2
2020	6
2020	6.3
2020	6.3
2020	6
2020	5.4
2020	5.8
2020	6.4
2020	5.6
2020	6.4
2020	5.9
2020	5.8
2020	5.2
2020	6.1
2020	5.8
2020	5.9
2020	6.2
2020	6.1
2020	6
2020	6.4
2020	5.6
2020	6.1
2020	5.3
2020	5.9
2020	5.6
2020	6.1
2020	6.2
2020	5.7
2020	6
2020	5.9
2020	5.7
2020	6
2020	5.9
2020	6.2
2020	5.8
2020	5.8
2020	6.1
2020	5.3
2020	6.1
2020	6.2
2020	6.1
2020	5.7
2020	6
2020	6
2020	5.8
2020	5.5
2020	5.9
2020	6
2020	6
2020	5.7
2020	6.3
2019	5.3
2019	5.6
2019	5.9
2019	6
2019	5.6
2019	5
2019	4.8
2019	5.2
2019	5.6
2019	6
2019	5.4
2019	4.4
2019	5.9
2019	5.1
2019	5.7
2019	4.8
2019	5.5
2019	5.5
2019	5
2019	5.1
2019	5.4
2019	5
2019	4.7
2019	5.7
2019	5.2
2019	5.3
2019	5.2
2019	1
2019	5.5
2019	5.5
2019	5.5
2019	5.9
2019	5.2
2019	5.8
2019	5.5
2019	5.6
2019	5.5
2019	5
2019	6.2
2019	5.7
2019	5.8
2019	5.7
2019	5.6
2019	6
2019	5.4
2019	5.6
2019	5.8
2019	5.9
2019	5.1
2019	5.2
2019	5.6
2019	5.8
2019	5.8
2019	5.3
2019	5.2
2019	5.9
2019	4.9
2019	5.6
2019	5.3
2019	5.8
2019	5.7
2019	5.3
2019	5.2
2019	5.2
2019	5.9
2019	6.4
2019	6.1
