SampleID	Sex	Stress	OTU1	OTU2	OTU3	OTU4	OTU5	OTU6	OTU7	OTU8	OTU9	OTU10	OTU11	OTU12	OTU13	OTU14	OTU15	OTU16	OTU17	OTU18	OTU19	OTU20	OTU21	OTU22	OTU23	OTU24	OTU25	OTU26	OTU27	OTU28	OTU29	OTU30	OTU31	OTU32	OTU33	OTU34	OTU35	OTU36	OTU37	OTU38	OTU39	OTU40	OTU41	OTU42	OTU43	OTU44	OTU45	OTU46	OTU47	OTU48	OTU49	OTU50	OTU51	OTU52	OTU53	OTU54	OTU55	OTU56	OTU57	OTU58	OTU59	OTU60	OTU61	OTU62	OTU63	OTU64	OTU65	OTU66	OTU67	OTU68	OTU69	OTU70	OTU71	OTU72	OTU73	OTU74	OTU75	OTU76	OTU77	OTU78	OTU79	OTU80	OTU81	OTU82	OTU83	OTU84	OTU85	OTU86	OTU87	OTU88	OTU89	OTU90	OTU91	OTU92	OTU93	OTU94	OTU95	OTU96	OTU97	OTU98	OTU99	OTU100	OTU101	OTU102	OTU103	OTU104	OTU105	OTU106	OTU107	OTU108	OTU109	OTU110	OTU111	OTU112	OTU113	OTU114	OTU115	OTU116	OTU117	OTU118	OTU119	OTU120	OTU121	OTU122	OTU123	OTU124	OTU125	OTU126	OTU127	OTU128	OTU129	OTU130	OTU131	OTU132	OTU133	OTU134	OTU135
1FARA	Male	Non-stressed	5	2	1	22	3	278	5	6	1	2	1	4	1	2	0	21	0	18	0	37	0	5	3	1	35	93	0	0	4	2	0	334	18	1	1	0	3	1	0	0	0	5	4	29	0	18	0	41	65	105	5	4	10	4169	1	0	2	36	10	6	2	92	2	5	1	3	416	89	2	7	4	3	12	15	2	5	4657	0	0	1	6	7	0	2	7	0	30	0	596	303	1	28	27	0	2	5	0	0	3	0	2	0	5	19	0	16	4	39	1	1	0	38	6	2	0	1	3	10	3	1	9	6	5	18	0	31	0	8	3	2	6	1	0	2	3
1FARB	Female	Non-stressed	0	0	0	9	0	77	0	0	0	0	0	1	0	2	0	4	0	4	0	81	1	8	5	1	12	17	0	0	1	1	2	396	8	0	0	0	0	1	0	0	0	5	11	8	0	43	1	6	25	21	2	8	1	8495	2	1	8	7	4	0	0	145	3	0	0	3	1347	38	9	8	1	1	11	2	0	0	359	1	0	4	1	4	0	5	1	1	4	0	142	424	0	5	53	0	0	4	1	4	0	0	0	0	0	8	3	31	36	3	1	4	1	11	0	1	0	0	1	1	2	6	2	1	0	5	1	4	0	9	3	3	1	0	0	2	0
1FARC	Male	Heat-stressed	0	2	1	4	0	5	0	0	0	0	2	0	11	0	0	1	0	2	0	20	1	0	47	0	1	0	0	1	0	0	0	36	3	0	0	0	0	0	0	5	0	0	11	0	0	170	0	0	1	0	0	0	0	556	0	0	38	0	0	0	4	7	0	0	2	0	10820	3	1	0	0	0	3	1	0	0	53	5	0	5	0	0	0	2	0	0	4	0	4	32	0	1	7	0	0	0	11	18	0	0	0	1	1	0	0	5	67	0	1	0	0	2	0	0	0	0	1	0	0	0	0	0	0	8	2	0	1	0	1	9	0	0	0	0	0
1FARD	Female	Heat-stressed	0	1137	0	8	0	1	0	0	0	0	0	0	0	0	18	0	3	4	0	41	0	7	0	2	22	2	0	0	0	0	127	246	1	2	0	20	0	31	0	0	0	8	2679	5	0	18	21	0	39	0	0	1	0	4585	0	4	0	0	0	0	0	172	0	0	3	0	578	1	14	4	0	1	6	0	0	0	816	2	0	0	0	4	1	342	0	0	3	0	6	837	0	0	23	23	0	0	1	2	3	1	1	0	0	2	18	14	10	7	0	1	0	3	0	0	9	0	0	1	0	1	4	0	0	5	2	7	23	2	11	0	2	0	0	1	1
1FBRA	Male	Non-stressed	0	1	0	32	0	417	10	3	4	2	0	3	1	1	0	9	0	28	0	23	1	2	2	0	21	87	0	0	5	12	0	231	28	2	1	0	1	0	1	0	0	7	6	45	2	11	0	42	53	96	16	4	13	3374	4	3	0	38	5	3	1	48	7	5	9	7	306	161	11	5	7	8	6	15	1	2	5385	1	0	3	3	7	0	0	7	0	25	0	821	336	4	16	19	0	0	0	1	1	1	0	4	0	3	0	4	14	0	7	7	0	0	30	0	0	0	2	2	6	0	2	4	2	1	4	1	22	0	2	2	1	0	0	0	0	1
1FBRC	Male	Heat-stressed	0	5	0	5	0	3	0	0	0	0	0	0	16	0	0	0	0	1	0	18	1	0	32	0	1	1	0	0	0	0	0	40	1	0	0	0	0	0	1	7	2	0	10	0	0	186	0	0	2	0	0	0	0	523	0	0	39	0	0	1	1	4	0	0	1	0	10828	1	0	4	1	1	1	1	1	0	61	4	0	3	0	0	2	1	0	0	4	0	4	29	0	0	8	0	0	0	9	21	0	0	0	2	0	0	0	5	74	0	1	1	0	7	0	0	0	0	0	0	0	1	0	0	0	14	0	0	0	0	3	7	0	0	0	0	0
1FBRD	Female	Heat-stressed	0	1108	0	3	0	1	0	0	0	1	0	0	0	2	27	0	7	2	1	36	0	3	2	0	20	1	0	0	0	0	116	272	1	2	0	31	1	25	1	1	1	11	2675	2	0	14	27	1	53	2	0	2	0	4723	0	0	3	0	0	0	0	170	0	0	0	0	557	1	5	1	0	0	8	0	0	0	828	2	0	0	0	4	0	348	1	0	3	0	4	738	3	0	21	15	0	0	1	2	0	3	0	0	0	7	9	13	6	2	0	0	1	4	0	1	7	0	0	3	0	7	0	0	0	4	5	5	23	0	6	0	3	0	1	0	0
1FCRA	Male	Non-stressed	2	3	0	25	4	330	9	4	4	2	0	0	0	0	0	12	1	28	0	30	0	5	0	0	42	69	0	1	3	9	2	204	45	1	3	0	3	0	1	1	0	7	11	55	1	20	2	59	65	77	12	1	5	3322	3	1	4	31	23	3	5	56	7	8	2	6	277	147	4	13	2	18	6	22	0	4	5570	1	0	3	5	18	0	4	2	2	29	0	688	358	1	28	16	0	1	2	0	0	0	0	2	0	4	7	3	10	5	23	2	1	0	23	6	0	0	0	2	4	4	0	5	2	2	3	1	26	0	0	2	1	7	0	3	1	1
1FCRB	Female	Non-stressed	2	8	0	5	2	92	1	0	3	0	0	1	0	1	0	5	0	5	0	66	1	11	4	0	13	18	0	0	0	1	0	451	11	2	0	0	2	0	0	1	0	5	10	16	0	32	1	14	40	30	2	8	2	8212	2	1	10	13	0	1	2	125	1	0	1	2	1332	31	3	1	4	0	13	6	0	1	472	1	0	2	1	4	0	1	2	1	3	0	205	458	3	3	52	0	1	4	4	11	0	0	2	1	1	18	2	18	34	9	0	5	1	7	3	3	0	0	3	1	1	1	1	0	6	5	0	2	0	1	6	3	4	1	4	0	2
1FCRC	Male	Heat-stressed	0	2	1	2	0	3	0	0	0	0	1	0	10	0	0	0	0	1	0	30	0	1	29	0	1	2	0	0	0	0	0	94	0	2	0	1	0	0	0	6	8	0	5	2	0	241	0	0	4	0	0	1	0	700	0	0	58	0	1	0	2	10	0	0	0	0	10371	2	1	2	0	2	2	3	0	0	87	1	0	12	0	1	0	1	0	0	1	0	6	22	1	0	8	0	4	0	22	33	0	0	0	8	0	0	1	9	128	0	1	2	1	2	0	0	0	0	0	0	0	1	0	0	1	21	1	1	0	0	4	19	0	0	0	0	0
